code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
62,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
63,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
64,a,b,g,x,x,noun,modal,y,bag,fresh,of
65,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
66,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
67,a,b,g,x,x,noun,modal,y,bag,fresh,of
68,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
69,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
70,a,b,g,x,x,noun,modal,y,bag,fresh,of
71,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
72,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
73,a,b,g,x,x,noun,modal,y,bag,fresh,of
74,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
75,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
76,a,b,g,x,x,noun,modal,y,bag,fresh,of
77,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
78,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
79,a,b,g,x,x,noun,modal,y,bag,fresh,of
80,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
81,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
82,a,b,g,x,x,noun,modal,y,bag,fresh,of
83,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
84,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
85,a,b,g,x,x,noun,modal,y,bag,fresh,of
86,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
87,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
88,a,b,g,x,x,noun,modal,y,bag,fresh,of
89,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
90,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
91,a,b,g,x,x,noun,modal,y,bag,fresh,of
92,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
93,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
94,a,b,g,x,x,noun,modal,y,bag,fresh,of
95,a,s,t,x,x,noun,creaky,y,sat,lettuce,in
96,a,k,b,x,x,noun,modal,y,cabbage,the,ketchup
97,ah,b,b,sentence,x,noun,modal,y,bob,na,took
98,ah,d,g,x,x,noun,modal,y,dog,the,up
99,ah,l,k,x,x,noun,modal,y,block,the,na
100,ah,b,b,sentence,x,noun,modal,y,bob,na,took
101,ah,d,g,x,x,noun,modal,y,dog,the,up
102,ah,l,k,x,x,noun,modal,y,block,the,na
103,ah,b,b,sentence,x,noun,modal,y,bob,na,took
104,ah,d,g,x,x,noun,modal,y,dog,the,up
105,ah,l,k,x,x,noun,modal,y,block,the,na
106,ah,b,b,sentence,x,noun,modal,y,bob,na,took
107,ah,d,g,x,x,noun,modal,y,dog,the,up
108,ah,l,k,x,x,noun,modal,y,block,the,na
109,ah,b,b,sentence,x,noun,modal,y,bob,na,took
110,ah,d,g,x,x,noun,modal,y,dog,the,up
111,ah,l,k,x,x,noun,modal,y,block,the,na
112,ah,b,b,sentence,x,noun,modal,y,bob,na,took
113,ah,d,g,x,x,noun,modal,y,dog,the,up
114,ah,l,k,x,x,noun,modal,y,block,the,na
115,ah,b,b,sentence,x,noun,modal,y,bob,na,took
116,ah,d,g,x,x,noun,modal,y,dog,the,up
117,ah,l,k,x,x,noun,modal,y,block,the,na
118,ah,b,b,sentence,x,noun,modal,y,bob,na,took
119,ah,d,g,x,x,noun,modal,y,dog,the,up
120,ah,l,k,x,x,noun,modal,y,block,the,na
121,ah,b,b,sentence,x,noun,modal,y,bob,na,took
122,ah,d,g,x,x,noun,modal,y,dog,the,up
123,ah,l,k,x,x,noun,modal,y,block,the,na
124,ah,b,b,sentence,x,noun,modal,y,bob,na,took
125,ah,d,g,x,x,noun,modal,y,dog,the,up
126,ah,l,k,x,x,noun,modal,y,block,the,na
127,ah,b,b,sentence,x,noun,modal,y,bob,na,took
128,ah,d,g,x,x,noun,modal,y,dog,the,up
129,ah,l,k,x,x,noun,modal,y,block,the,na
130,ah,b,b,sentence,x,noun,modal,y,bob,na,took
131,ah,d,g,x,x,noun,modal,y,dog,the,up
132,ah,l,k,x,x,noun,modal,y,block,the,na
133,ah,b,b,sentence,x,noun,modal,y,bob,na,took
134,ah,d,g,x,x,noun,modal,y,dog,the,up
135,ah,l,k,x,x,noun,modal,y,block,the,na
136,ah,b,b,sentence,x,noun,modal,y,bob,na,took
137,ah,d,g,x,x,noun,modal,y,dog,the,up
138,ah,l,k,x,x,noun,modal,y,block,the,na
139,ah,b,b,sentence,x,noun,modal,y,bob,na,took
140,ah,d,g,x,x,noun,modal,y,dog,the,up
141,ah,l,k,x,x,noun,modal,y,block,the,na
142,ah,b,b,sentence,x,noun,modal,y,bob,na,took
143,ah,d,g,x,x,noun,modal,y,dog,the,up
144,ah,l,k,x,x,noun,modal,y,block,the,na
145,ah,b,b,sentence,x,noun,modal,y,bob,na,took
146,ah,d,g,x,x,noun,modal,y,dog,the,up
147,ah,l,k,x,x,noun,modal,y,block,the,na
